Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Blanco County, Texas",4297,167,151,401,353,657,851,465,699,268,285,63071,85285,34925,29346,47961,34068
"Jasper County, Texas",12583,776,882,1818,1495,1692,2065,1584,1547,335,389,46088,64734,25004,31429,57370,30417
"Kinney County, Texas",1170,84,82,305,173,123,114,121,144,15,9,31468,49372,20323,30444,41530,35125
"Deaf Smith County, Texas",6139,332,415,471,686,1072,1125,900,871,141,126,51841,63376,21515,30389,45189,30660
"Galveston County, Texas",119181,7129,4770,10383,9872,12982,18276,13461,20241,10546,11521,69369,95026,35448,37876,64771,47458
"La Salle County, Texas",2216,152,249,227,89,315,677,157,82,147,121,51792,79335,25129,23943,38947,28830
"Roberts County, Texas",311,9,3,26,25,38,60,40,54,44,12,73854,88939,31632,31406,73750,31250
"Tyler County, Texas",7020,510,553,889,853,975,1267,880,806,204,83,43936,57233,20439,31179,52351,32454
"Wheeler County, Texas",2254,143,168,239,231,360,349,339,256,118,51,49352,65686,26844,30885,47174,32273
"Bowie County, Texas",33731,3254,2119,3718,3703,4815,5944,3927,3732,1289,1230,47505,67304,25355,30728,46748,31783
"Brewster County, Texas",3942,411,196,427,406,900,452,436,436,180,98,43894,60719,27227,26960,43527,35940
"Kent County, Texas",318,12,43,32,41,48,47,18,42,3,32,45926,68737,29503,36875,49773,40000
"Smith County, Texas",77195,5369,3712,8292,7560,11243,14111,9405,10296,3522,3685,53511,73922,27141,30147,46121,35502
"Crockett County, Texas",1388,108,89,194,85,153,336,84,266,67,6,51152,63225,24852,33403,43162,27227
"Hardin County, Texas",20385,1552,1262,1800,1886,2182,3641,2387,3484,1233,958,59105,77772,29108,38827,58674,35973
"Howard County, Texas",11036,882,574,960,1420,1509,1966,1470,1541,324,390,51528,71173,23784,26963,48796,29020
"Leon County, Texas",6249,349,367,789,908,828,892,699,743,293,381,44818,80589,32130,30530,53154,30528
"Montague County, Texas",7995,577,388,868,830,1040,1642,991,1004,381,274,51774,68340,28457,31811,54199,30751
"Panola County, Texas",8827,732,452,1045,894,1042,1858,1071,1050,352,331,51569,67548,26403,30198,51276,30203
"Erath County, Texas",13961,1656,639,1395,1559,1947,2491,1410,1716,744,404,48819,67961,25290,23053,42103,32345
"Brazoria County, Texas",118762,5192,4020,7424,8635,11253,20118,17046,23348,11298,10428,79270,97877,33547,43466,63626,47711
"Motley County, Texas",465,40,16,66,75,60,90,53,39,6,20,43750,62145,26103,24483,33750,40139
"Donley County, Texas",1290,98,77,151,166,233,214,154,130,44,23,43224,57942,23711,25236,46944,29677
"Atascosa County, Texas",15387,1014,484,1771,1676,1941,3068,1887,2088,836,622,55265,73390,24421,27043,46273,29942
"Coleman County, Texas",3460,312,145,501,366,697,642,313,238,70,176,43981,64448,27842,31159,41204,29188
"Nolan County, Texas",5469,401,302,845,648,772,894,699,589,161,158,44346,66804,25820,26882,46875,30213
"Hudspeth County, Texas",900,143,101,123,133,191,99,33,43,17,17,29318,45074,14190,18147,26940,21827
"Medina County, Texas",15470,1104,827,1194,1511,1600,3101,1769,2669,981,714,61059,78044,26274,30122,46881,36149
"Ward County, Texas",3956,314,207,378,268,407,715,722,563,199,183,64630,75278,26570,39173,60592,36077
"Henderson County, Texas",30885,2229,1973,3825,3907,4579,5413,3813,3081,1190,875,45798,64314,25280,27732,43754,32546
"Harrison County, Texas",23217,1795,1204,2325,2785,3186,3908,3554,2833,958,669,51202,68884,25418,30864,50660,33857
"Menard County, Texas",992,81,86,216,72,156,127,147,63,38,6,40606,51494,25067,24932,34269,25909
"Lamar County, Texas",19313,2147,1202,2209,2341,2828,3374,2168,1949,676,419,43562,59148,23833,28920,47543,31120
"Fayette County, Texas",9067,539,660,885,830,1244,1700,1176,1134,344,555,56297,76017,30097,31230,45089,30297
"Williamson County, Texas",174754,4443,3458,8449,11907,18565,31234,26315,37620,17413,15350,83679,101648,35825,41219,61035,45919
"Polk County, Texas",17803,1422,1193,2036,2218,2556,3304,1808,1875,691,700,46182,63446,24686,27868,45098,31397
"Refugio County, Texas",2577,189,245,254,299,337,596,250,291,72,44,48112,59434,23810,26053,41603,33363
"Caldwell County, Texas",13225,1002,611,1210,1415,2010,2634,1766,1631,529,417,52278,69537,23881,28604,39793,33974
"Wilbarger County, Texas",5263,268,444,693,577,702,1057,761,474,184,103,48773,59930,24078,27337,40755,28676
"Reagan County, Texas",1147,72,21,98,88,126,215,179,281,33,34,70478,75412,25397,40210,55625,36204
"Hale County, Texas",11146,969,584,1250,1286,1958,2302,1431,965,239,162,47080,56831,19854,28851,41728,32002
"Shelby County, Texas",9292,1056,577,1305,1133,1455,1791,628,957,147,243,40764,54312,20969,27438,40960,31363
"Runnels County, Texas",3749,303,173,550,523,636,602,320,422,143,77,41732,58250,23042,30129,40562,30662
"San Jacinto County, Texas",9487,539,632,1316,1315,1421,1758,1074,937,301,194,44658,59016,21808,26261,42038,31342
"Tom Green County, Texas",43131,2546,1861,4934,5212,6510,7870,5313,5195,1869,1821,51675,72478,28444,29332,42988,31676
"Victoria County, Texas",32544,2136,1419,3373,3186,4571,5468,4116,5058,1720,1497,55631,76886,28576,30793,51404,32818
"Waller County, Texas",14807,802,647,1616,1514,2026,2438,1767,2287,818,892,57654,78075,24495,27024,44726,32173
"Wichita County, Texas",47951,4588,3033,5502,5178,7199,8601,5750,5364,1583,1153,46575,62083,23921,25985,41341,31862
"Wilson County, Texas",15820,685,547,1185,1396,1627,2649,2506,3089,1061,1075,72445,89915,30935,36950,57074,43634
"Hockley County, Texas",7946,408,431,1003,933,1357,1411,949,913,268,273,48116,65147,23440,28465,47456,33347
"Maverick County, Texas",16307,1715,1607,2630,1748,2015,2589,1955,1250,551,247,38035,54137,16891,21905,42442,23796
"Midland County, Texas",55980,1822,1713,3641,4305,5805,9363,7701,10428,4836,6366,78888,109874,39179,42172,64365,42259
"Live Oak County, Texas",3675,151,305,381,424,383,885,316,548,155,127,55766,67552,24244,29286,49242,39518
"Llano County, Texas",8491,483,461,844,1059,1192,1478,995,1056,427,496,52178,82567,35822,23514,42361,36338
"Fannin County, Texas",12231,1005,577,1289,1342,1796,2239,1604,1525,466,388,50761,65077,24581,30940,50000,36165
"Karnes County, Texas",4246,389,257,423,501,462,720,484,460,221,329,52252,83800,26875,33956,44872,34310
"Brazos County, Texas",79053,9557,4364,8937,8310,10293,11863,8810,9410,3522,3987,46839,70257,26539,23430,45944,36787
"Cass County, Texas",11789,1060,695,1466,1522,1829,2075,1316,1298,295,233,45345,56515,22545,31162,41784,29961
"Gaines County, Texas",5737,444,175,538,668,686,999,857,815,318,237,59032,74857,22710,32571,49333,27473
"Gray County, Texas",8000,538,341,1279,1029,919,1399,904,1025,284,282,47170,66873,24911,30902,48117,31497
