Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Taylor County, Texas",136348,66718,69630,10062,9235,9205,10384,14403,19990,14949,14123,7568,7274,10310,6185,2660,32.3
"Trinity County, Texas",14569,7011,7558,672,953,858,818,588,1344,1426,1816,934,1282,2172,1347,359,48.7
"Bandera County, Texas",21763,11032,10731,864,880,1252,1033,1056,1924,2087,2925,1873,2236,3472,1713,448,52.1
"Cochran County, Texas",2904,1491,1413,215,247,208,242,124,447,346,277,205,153,222,188,30,34.5
"Comal County, Texas",135097,66793,68304,7855,8111,9355,8623,7284,14986,16199,18761,9448,10508,14757,6482,2728,42.0
"Houston County, Texas",22955,12432,10523,1181,1372,1161,1224,1325,2412,3021,3182,1669,1574,2605,1543,686,44.0
"Potter County, Texas",120899,62295,58604,9808,10053,8534,7885,8309,18388,15720,14471,7563,5757,8259,4214,1938,33.8
"Scurry County, Texas",17239,9425,7814,1181,1033,1439,1285,1063,2295,2398,1941,1091,921,1370,863,359,36.1
"Stonewall County, Texas",1385,730,655,63,73,137,108,15,106,79,179,131,121,223,119,31,52.0
"Brown County, Texas",37834,18774,19060,2053,2158,2724,2768,2409,4417,4208,4717,2801,2343,4129,2309,798,41.3
"Bee County, Texas",32691,19911,12780,1924,1870,1998,1938,2720,5676,4790,4387,2031,1478,2223,1157,499,35.4
"Crane County, Texas",4839,2511,2328,381,381,473,479,239,639,574,569,317,206,330,196,55,32.4
"McCulloch County, Texas",8098,4260,3838,536,457,532,436,422,825,898,1080,539,584,1059,491,239,44.6
"Lee County, Texas",16952,8558,8394,913,1169,938,1406,954,1669,2124,2162,1207,1304,1724,1017,365,41.5
"Ellis County, Texas",168838,83184,85654,11392,12826,13120,12711,10718,21434,22272,22939,11317,9272,12940,6149,1748,36.1
"Kerr County, Texas",51365,24886,26479,2627,2593,2945,3036,3013,5313,4702,5826,3675,3816,7327,4509,1983,47.7
"Falls County, Texas",17299,8189,9110,1042,1022,1058,967,1175,2466,1914,2421,1238,1013,1600,904,479,39.3
