county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density
"Hudspeth County, Texas",94.0,3.0,0.031914893617021274,770,4098,3212,720,49,0,74,0,0,43,4098,2019,2079,207,362,280,235,274,648,347,508,334,264,385,213,41,37.6,4570.525,0.383,3377,2586,1241,1620,791,900,143,101,123,133,191,99,33,43,17,17,29318,45074,14190,26940,21827,3.1914893617021276,2.2938018545632017,18.789653489507078,0.8966147215035473
"Hunt County, Texas",1944.0,44.0,0.022633744855967083,24780,92152,14595,66540,7297,952,1144,43,72,1509,92152,45279,46873,5804,6140,6305,6695,6266,11300,10817,12284,6545,5474,8628,4434,1460,37.8,840.34,0.383,91346,75795,55072,31012,15551,32369,2272,1942,4113,3363,3856,5465,4443,4233,1698,984,51928,67512,25077,50090,36033,2.2633744855967084,2.109558121364702,26.890355065543886,109.6603755622724
"Hutchinson County, Texas",326.0,7.0,0.02147239263803681,4476,21571,4959,15250,474,313,82,122,4,367,21571,10797,10774,1424,1718,1444,1501,1343,2634,2713,2477,1415,1515,1902,1151,334,37.3,887.42,0.28600000000000003,21464,17752,13267,7558,3712,7191,536,522,728,663,1109,1181,929,943,430,150,50651,65818,24725,52628,30403,2.147239263803681,1.5112883037411338,20.750081127439618,24.307543215163058
"Irion County, Texas",13.0,0.0,0.0,210,1524,374,1086,54,0,0,0,0,10,1524,836,688,60,102,141,127,87,122,140,214,104,138,145,94,50,44.1,1051.544,0.241,1508,1298,1076,398,210,634,47,52,38,93,59,104,77,93,37,34,54706,75706,31449,60100,33917,0.0,0.8530183727034121,13.779527559055119,1.4492974140882358
"Jack County, Texas",151.0,3.0,0.019867549668874173,571,8842,1465,6854,415,23,12,0,11,62,8842,4987,3855,493,449,577,647,603,1157,1171,1180,557,504,863,468,173,39.7,910.94,0.251,7684,6346,4815,2637,1338,3160,212,143,423,384,350,644,320,443,104,137,51700,68400,25626,56388,34067,1.9867549668874174,1.707758425695544,6.4578149739877855,9.70645706632709
"Jackson County, Texas",646.0,16.0,0.02476780185758514,3791,14820,4873,8717,947,0,134,8,0,141,14820,7226,7594,1053,1104,1038,895,890,1638,1995,1693,1124,899,1309,788,394,38.5,829.443,0.332,14591,12288,9508,4568,2303,5237,408,173,504,353,667,1133,961,586,277,175,60276,71786,26329,54392,31335,2.476780185758514,4.358974358974359,25.58029689608637,17.867412227241655
"Jasper County, Texas",512.0,34.0,0.06640625,7605,35504,2360,26471,5833,62,157,26,97,498,35504,17501,18003,2119,2373,2648,2238,2179,3772,3960,4620,2600,2265,3996,1867,867,40.9,938.655,0.436,34587,28798,19829,13936,5789,12583,776,882,1818,1495,1692,2065,1584,1547,335,389,46088,64734,25004,57370,30417,6.640625,1.4420910319963949,21.420121676430824,37.82433375414822
"Jeff Davis County, Texas",21.0,0.0,0.0,456,2234,727,1422,18,0,51,0,0,16,2234,1114,1120,61,108,160,142,57,138,202,251,177,232,541,131,34,54.8,2264.556,0.26,2172,1877,1395,998,295,1050,60,56,137,111,151,241,181,87,23,3,53194,56213,26053,43295,35606,0.0,0.9400179051029544,20.411817367949865,0.9865068472583588
"Jefferson County, Texas",8245.0,152.0,0.018435415403274712,89254,255210,51461,104869,85589,428,9401,114,251,3097,255210,130660,124550,17595,17385,16171,16490,18238,37482,32341,32075,17101,14877,19797,11079,4579,36.0,876.372,0.413,241135,191760,134334,80870,49375,94002,9049,5294,11196,10228,12312,15946,10165,11636,4656,3520,48463,68549,26205,49828,37419,1.8435415403274713,3.2306727792798084,34.97276752478351,291.2119510892635
"Jim Hogg County, Texas",168.0,6.0,0.03571428571428571,3240,5282,4890,371,2,0,0,0,0,19,5282,2550,2732,412,366,514,539,303,525,569,398,350,374,522,328,82,34.7,1136.173,0.232,5253,4265,2510,2389,988,1710,173,197,336,206,190,205,180,146,30,47,32049,51120,17798,48097,22266,3.571428571428571,3.180613404013631,61.34040136312004,4.648939906158657
"Jim Wells County, Texas",1566.0,52.0,0.033205619412515965,23923,41192,33060,7432,254,28,253,63,20,82,41192,20178,21014,3041,3107,3521,3174,2596,5304,5092,4722,2210,2414,3425,1980,606,34.8,865.17,0.339,40799,33303,22127,14047,7496,13043,1576,841,1850,1500,1323,2123,1573,1370,520,367,42005,62151,21274,47272,26447,3.3205619412515963,3.801709069722276,58.07681103126821,47.61145208456142
"Johnson County, Texas",3588.0,64.0,0.017837235228539576,40672,163475,34048,119128,4982,644,1400,607,79,2587,163475,81568,81907,10772,12070,12313,11668,10001,20689,21405,21985,11444,8798,13666,6700,1964,36.8,724.8,0.396,161010,135010,106074,42973,26000,56433,2244,1917,4668,5002,7878,11537,8339,9364,3263,2221,62066,78174,27667,49563,38541,1.7837235228539576,2.194831013916501,24.879645205688945,225.54497792494482
"Jones County, Texas",585.0,2.0,0.0034188034188034192,2617,19891,5447,10613,2842,30,70,0,33,856,19891,12507,7384,888,913,1075,937,1363,3666,2979,2768,1407,927,1724,934,310,38.5,928.57,0.293,12690,10923,7686,5493,1767,5593,383,389,538,722,933,960,665,624,235,144,45694,64904,17673,47568,33987,0.34188034188034194,2.941028605902167,13.15670403700166,21.42110987863058
"Karnes County, Texas",949.0,17.0,0.01791359325605901,7882,15387,8304,5645,1218,32,14,0,0,174,15387,9133,6254,852,999,881,1167,1008,2859,2028,1723,920,800,1105,705,340,34.7,747.497,0.269,12806,11029,8062,4353,1777,4246,389,257,423,501,462,720,484,460,221,329,52252,83800,26875,44872,34310,1.7913593256059008,6.167544030675246,51.22506011568206,20.584697998787956
"Kaufman County, Texas",3499.0,56.0,0.016004572735067158,35096,118910,24531,77641,12799,468,1410,46,232,1783,118910,58360,60550,8545,8799,9932,8701,6654,15677,16626,15891,7933,6116,8585,4244,1207,35.6,780.675,0.393,117811,99986,77950,32365,17825,37364,1850,1531,2857,3098,4815,6821,4540,7606,2822,1424,65390,81752,27411,52527,41538,1.6004572735067157,2.942561601211,29.514759061475065,152.31690524225831
"Kendall County, Texas",381.0,10.0,0.026246719160104987,8668,41982,9894,30601,286,31,369,25,0,776,41982,20415,21567,2138,2599,3124,3123,2249,3936,5123,5786,3238,2772,4557,2356,981,42.1,662.454,0.339,41551,37727,32693,11739,3824,14159,527,307,639,1205,1303,2435,1876,2587,1281,1999,82390,120877,43241,64886,45371,2.6246719160104988,0.9075317993425754,20.646943928350243,63.373456873986726
"Kenedy County, Texas",11.0,2.0,0.18181818181818185,86,595,522,72,0,0,1,0,0,0,595,286,309,85,37,40,10,10,95,47,75,51,9,85,29,22,39.5,1458.453,0.22,595,467,212,276,128,209,25,4,49,13,71,16,23,8,0,0,36125,40908,15820,40848,23295,18.181818181818183,1.8487394957983194,14.453781512605044,0.40796652343270573
"Kent County, Texas",10.0,0.0,0.0,183,749,122,613,8,6,0,0,0,0,749,327,422,33,53,34,61,12,41,79,90,65,54,146,59,22,51.8,902.507,0.278,707,668,525,245,39,318,12,43,32,41,48,47,18,42,3,32,45926,68737,29503,49773,40000,0.0,1.335113484646195,24.432576769025367,0.829910460528284
"Kerr County, Texas",693.0,13.0,0.01875901875901876,19225,51365,13702,35484,759,117,473,32,114,684,51365,24886,26479,2627,2593,2945,3036,3013,5313,4702,5826,3675,3816,7327,4509,1983,47.7,1103.326,0.241,50494,42461,31033,22022,8033,20766,992,814,2202,2562,3448,3852,2838,2414,967,677,52473,73327,30498,41314,37059,1.875901875901876,1.3491677212109412,37.42820987053441,46.55469009159577
"Kimble County, Texas",24.0,1.0,0.04166666666666666,1023,4408,1114,3193,1,17,0,0,16,67,4408,2154,2254,270,203,203,332,160,247,432,440,360,488,701,399,173,52.9,1250.985,0.314,4356,3355,2268,1890,1001,1948,147,114,208,296,384,311,196,154,37,101,42500,64992,28899,34747,23662,4.166666666666666,0.5444646098003629,23.207803992740473,3.523623384772799
"King County, Texas",1.0,0.0,0.0,21,228,38,190,0,0,0,0,0,0,228,118,110,17,15,20,15,2,23,21,23,46,13,18,15,0,46.5,910.872,0.2,228,210,150,73,18,91,0,3,0,13,24,15,13,18,0,5,65125,75557,31564,42250,32250,0.0,0.43859649122807015,9.210526315789473,0.2503095934445235
"Kinney County, Texas",73.0,1.0,0.0136986301369863,594,3675,2297,1375,3,0,0,0,0,0,3675,2290,1385,87,152,283,190,216,579,391,502,346,178,501,122,128,41.7,1360.055,0.229,3419,2919,1772,1586,500,1170,84,82,305,173,123,114,121,144,15,9,31468,49372,20323,41530,35125,1.36986301369863,1.9863945578231295,16.163265306122447,2.7020966063872414
"Kleberg County, Texas",1015.0,52.0,0.05123152709359606,15474,31425,22849,6419,907,16,695,0,64,475,31425,16052,15373,2222,2295,1915,2953,4777,4366,3270,2828,1301,1461,2274,1283,480,28.0,881.306,0.328,30628,25323,17697,11055,5305,10946,1647,669,1436,928,1720,1454,1165,1241,399,287,42021,58413,21986,49596,30959,5.123152709359606,3.2299124900556886,49.24105011933174,35.65730858521331
"Knox County, Texas",113.0,9.0,0.07964601769911504,552,3733,1269,2191,213,4,5,0,0,51,3733,1853,1880,279,272,316,239,250,378,319,460,248,289,334,242,107,39.5,850.625,0.262,3590,3022,2051,1452,568,1330,115,55,181,191,167,214,205,153,31,18,46146,57553,21796,43333,37692,7.964601769911504,3.027055987141709,14.787034556656845,4.388537839823659
"La Salle County, Texas",366.0,13.0,0.035519125683060114,6929,7409,6104,1125,94,0,12,0,0,74,7409,4408,3001,508,532,287,418,605,1499,887,985,363,291,665,331,38,33.8,1486.704,0.238,6471,4846,3469,2035,1625,2216,152,249,227,89,315,677,157,82,147,121,51792,79335,25129,38947,28830,3.5519125683060113,4.93993791334863,93.5213929005264,4.983507140627859
"Lamar County, Texas",1729.0,46.0,0.026604973973395025,2993,49532,3804,37005,6135,194,429,111,19,1835,49532,23917,25615,3327,2989,3421,3276,2843,5932,5656,6370,3259,3232,5256,3069,902,40.8,907.181,0.343,48942,40530,27453,19037,8412,19313,2147,1202,2209,2341,2828,3374,2168,1949,676,419,43562,59148,23833,47543,31120,2.6604973973395025,3.490672696438666,6.04255834611968,54.59990894871034
"Lamb County, Texas",507.0,24.0,0.04733727810650888,5349,13262,7325,5252,442,33,72,0,0,138,13262,6710,6552,970,1059,1071,934,877,1571,1448,1536,918,734,1050,777,317,36.0,1016.181,0.255,13062,10062,6496,4833,3000,4754,334,485,542,616,713,948,436,478,72,130,43396,57348,21506,40910,31167,4.733727810650888,3.8229527974664452,40.33328306439451,13.050824607033588
"Lampasas County, Texas",304.0,9.0,0.02960526315789473,3565,20640,4025,14980,903,25,208,63,78,358,20640,10187,10453,1136,1114,1510,1497,967,2185,2601,2851,1434,1582,2294,1070,399,42.2,712.841,0.339,20242,17253,13784,7502,2989,7738,631,229,605,610,1328,1449,974,1088,516,308,58194,73074,28158,52763,35051,2.960526315789473,1.4728682170542635,17.272286821705425,28.954563500135375
"Lavaca County, Texas",1126.0,39.0,0.03463587921847247,6374,19941,3694,14734,1255,9,71,0,2,176,19941,9684,10257,1189,1405,1388,1193,1034,2062,1939,2394,1318,1470,2356,1483,710,43.5,969.709,0.404,19506,17325,13831,6348,2181,7756,345,627,775,714,1169,1386,814,1133,377,416,53021,77669,31670,47562,34030,3.463587921847247,5.6466576400381125,31.964294669274356,20.56390112910162
"Lee County, Texas",239.0,14.0,0.058577405857740586,3182,16952,3970,10773,1889,0,165,0,26,129,16952,8558,8394,913,1169,938,1406,954,1669,2124,2162,1207,1304,1724,1017,365,41.5,629.04,0.375,16491,14397,11420,5353,2094,6104,376,445,598,491,866,1354,803,686,296,189,55000,67793,25876,47531,33876,5.857740585774058,1.4098631429919775,18.770646531382727,26.949001653312987
"Leon County, Texas",336.0,11.0,0.03273809523809524,3901,17098,2457,13048,1174,85,136,52,0,146,17098,8602,8496,1075,1143,1039,1039,777,1680,1789,1938,1255,1276,2351,1208,528,45.0,1073.156,0.337,17003,13948,9834,7052,3055,6249,349,367,789,908,828,892,699,743,293,381,44818,80589,32130,53154,30528,3.273809523809524,1.9651421218856004,22.815533980582526,15.932445981758478
"Liberty County, Texas",2283.0,58.0,0.025405168637757332,24660,81862,19098,52825,8062,311,500,8,37,1021,81862,40439,41423,5715,5789,5927,5526,5518,11704,10271,10863,5591,4421,6603,3154,780,35.7,1158.385,0.374,74715,60494,40606,26179,14221,26203,1660,1546,3015,3099,3818,5087,3194,2970,934,880,49850,66052,22757,50966,35476,2.5405168637757334,2.788839754709145,30.123866995675648,70.66907806989904
"Limestone County, Texas",671.0,16.0,0.023845007451564832,9203,23515,5101,13816,4058,90,177,63,60,150,23515,12056,11459,1508,1359,1544,1614,1391,2907,2780,2869,1560,1700,2541,1307,435,40.0,905.43,0.419,22659,17953,11644,9453,4706,8169,664,530,1097,1152,1263,1608,669,777,281,128,42680,57409,21822,36608,31293,2.3845007451564832,2.853497767382522,39.13672124176058,25.97108556155639
"Lipscomb County, Texas",68.0,1.0,0.014705882352941175,167,3469,1051,2252,18,69,9,0,0,70,3469,1840,1629,268,305,203,248,170,553,316,399,248,229,262,181,87,34.9,932.186,0.29100000000000004,3424,2773,2284,903,651,1256,57,101,80,159,127,236,206,181,68,41,57372,73911,28491,54271,28693,1.4705882352941175,1.960219083309311,4.814067454597867,3.721360329376326
"Live Oak County, Texas",381.0,10.0,0.026246719160104987,1941,12123,4782,6847,336,0,117,0,0,41,12123,6634,5489,655,539,807,767,568,1783,1531,1396,814,840,1372,757,294,42.2,1039.695,0.236,10652,8609,6273,3721,2043,3675,151,305,381,424,383,885,316,548,155,127,55766,67552,24244,49242,39518,2.6246719160104988,3.1427864390002473,16.010888393961892,11.66015033254945
"Llano County, Texas",172.0,3.0,0.017441860465116282,4308,20640,2113,17880,26,28,82,0,0,511,20640,10138,10502,796,886,811,715,870,1804,1431,2432,1363,2114,3982,2674,762,57.6,934.052,0.263,20429,17006,12501,9925,3423,8491,483,461,844,1059,1192,1478,995,1056,427,496,52178,82567,35822,42361,36338,1.7441860465116283,0.8333333333333334,20.872093023255815,22.09727081575758
"Loving County, Texas",0.0,0.0,,9,102,16,83,0,3,0,0,0,0,102,58,44,19,5,0,0,3,11,11,0,14,14,22,3,0,55.4,668.818,0.294,102,91,88,25,11,33,0,3,0,3,3,6,2,16,0,0,81875,75148,23546,101667,61250,,0.0,8.823529411764707,0.1525078571449931
"Lubbock County, Texas",16911.0,165.0,0.00975696292354089,113428,301454,105514,162667,20528,1067,6328,182,223,4945,301454,148631,152823,20437,19739,20780,25447,37594,44283,34465,31396,16549,14674,20375,11331,4384,30.7,895.6039999999998,0.315,297274,257051,201564,85161,40223,112185,10219,5492,12064,12034,15870,19608,13614,13681,4690,4913,50473,71043,27089,45699,35418,0.9756962923540891,5.609811115460402,37.62696796194444,336.59295849504923
"Lynn County, Texas",163.0,5.0,0.030674846625766868,1887,5808,2751,2852,61,21,43,4,0,76,5808,2977,2831,393,480,434,406,290,692,690,716,361,368,519,364,95,38.2,891.867,0.261,5766,4755,3221,2261,1011,2133,184,184,283,202,339,290,171,300,66,114,43524,66719,25279,40344,31563,3.0674846625766867,2.806473829201102,32.489669421487605,6.512181749072452
"Madison County, Texas",753.0,6.0,0.00796812749003984,1028,14128,3230,7815,2111,27,441,26,14,464,14128,8127,6001,648,978,948,565,1300,2721,1889,1597,608,812,1102,742,218,34.7,466.065,0.298,10531,9029,6486,3820,1502,4201,276,265,530,579,472,808,315,676,170,110,49428,65516,17856,46455,26530,0.796812749003984,5.329841449603625,7.276330690826727,30.313368306995805
"Marion County, Texas",170.0,14.0,0.08235294117647059,10893,10083,406,7142,2361,43,0,38,0,93,10083,4915,5168,435,536,554,606,379,911,1016,1367,851,884,1500,896,148,50.1,380.884,0.446,9954,8722,5681,4726,1232,4459,468,398,689,543,781,552,398,279,128,223,37283,60527,27052,43750,30370,8.235294117647058,1.6860061489636022,108.0333234156501,26.472626836517154
"Martin County, Texas",89.0,7.0,0.07865168539325842,22399,5614,2574,2978,48,8,4,2,0,0,5614,2934,2680,468,467,545,443,401,641,606,854,311,223,378,235,42,32.2,914.956,0.307,5543,4845,4001,1230,698,1626,72,50,142,141,229,233,214,217,146,182,69722,94582,29225,53162,36635,7.865168539325842,1.5853224082650517,398.9846811542572,6.135814181228387
"Mason County, Texas",80.0,2.0,0.025,1086,4161,978,3029,1,12,92,0,0,49,4161,2146,2015,213,124,297,351,200,316,445,533,318,320,643,331,70,46.9,928.836,0.253,4150,3306,2579,1584,844,1667,166,133,158,232,310,218,201,120,80,49,40708,60697,25602,38106,28289,2.5,1.9226147560682527,26.09949531362653,4.479800524527473
"Matagorda County, Texas",1094.0,53.0,0.04844606946983546,91904,36743,15441,16330,3587,98,710,53,0,524,36743,18319,18424,2579,2556,2764,2339,2361,4636,4015,4498,2328,2767,3214,1752,934,37.8,1092.896,0.362,36342,29201,19869,13234,7141,13636,1610,906,1448,1484,1919,2351,1588,1410,427,493,45500,62232,24376,50541,31655,4.8446069469835455,2.977437879323953,250.12655471790546,33.619850379176064
"Maverick County, Texas",4182.0,146.0,0.034911525585844094,158,57970,55206,1439,236,652,269,32,136,0,57970,28736,29234,5540,4796,4904,5194,4930,7450,6951,6309,2718,2582,3772,2245,579,29.6,1279.472,0.307,57698,40321,22777,19871,17377,16307,1715,1607,2630,1748,2015,2589,1955,1250,551,247,38035,54137,16891,42442,23796,3.4911525585844094,7.2140762463343115,0.2725547697084699,45.30775194767842
"McCulloch County, Texas",202.0,4.0,0.0198019801980198,7613,8098,2587,4945,148,2,16,0,251,149,8098,4260,3838,536,457,532,436,422,825,898,1080,539,584,1059,491,239,44.6,1065.601,0.31,7960,6496,4869,2929,1464,3255,275,203,386,347,534,732,362,286,35,95,45329,58607,24409,45357,26534,1.98019801980198,2.4944430723635462,94.01086688071129,7.599467342842208
"McLennan County, Texas",9772.0,131.0,0.013405648792468276,1018,248429,64733,139766,35575,418,3957,30,304,3646,248429,121359,127070,17541,16956,16751,20889,26258,31956,28004,27705,14318,13611,19183,10742,4515,33.2,1037.122,0.342,244239,207404,158338,77096,36835,89034,8072,4770,10774,10095,12112,15229,9979,11162,3631,3210,48199,66650,24826,42600,33357,1.3405648792468277,3.9335182285481967,0.4097750262650496,239.53691079737965
"McMullen County, Texas",24.0,1.0,0.04166666666666666,661,662,332,326,0,4,0,0,0,0,662,387,275,45,54,56,19,24,82,125,35,58,27,75,42,20,40.2,1139.799,0.241,662,581,502,210,81,223,16,14,6,10,42,45,26,23,16,25,68750,91265,32556,58750,31875,4.166666666666666,3.625377643504532,99.8489425981873,0.5808041593298467
"Medina County, Texas",1274.0,48.0,0.03767660910518053,11077,49334,25470,21679,1157,99,356,11,0,562,49334,25551,23783,2891,3061,3442,3492,3486,6103,5643,6687,3387,3198,4795,2163,986,39.3,1325.359,0.37,46905,40650,32565,14981,6255,15470,1104,827,1194,1511,1600,3101,1769,2669,981,714,61059,78044,26274,46881,36149,3.767660910518053,2.5823975351684436,22.453074958446507,37.22312218802604
"Menard County, Texas",62.0,0.0,0.0,1017,2123,728,1319,14,12,0,0,0,50,2123,1117,1006,26,140,117,69,55,298,177,352,161,164,327,174,63,49.1,902.027,0.29100000000000004,2074,1422,1095,775,652,992,81,86,216,72,156,127,147,63,38,6,40606,51494,25067,34269,25909,0.0,2.920395666509656,47.90390956194065,2.3535880855007667
"Midland County, Texas",4771.0,76.0,0.015929574512680778,26558,164194,72325,75960,9934,677,3316,72,100,1810,164194,82543,81651,14261,13180,12007,10706,11559,28956,20904,17789,9523,8516,9254,5172,2367,31.7,900.2539999999998,0.345,162946,134490,114797,31960,28456,55980,1822,1713,3641,4305,5805,9363,7701,10428,4836,6366,78888,109874,39179,64365,42259,1.5929574512680778,2.9057091002107263,16.174768870969707,182.38630430967265
"Milam County, Texas",545.0,7.0,0.012844036697247707,7393,24664,6459,15426,2093,28,121,0,12,525,24664,12343,12321,1548,1579,1706,1897,1388,2762,2322,3165,1590,1845,2839,1402,621,41.3,1016.915,0.406,24164,20935,15076,9389,3229,9381,476,791,1228,1133,1290,1828,1101,1015,324,195,47081,61094,24015,47693,32055,1.2844036697247707,2.20969834576711,29.974862147259163,24.25374785503213
"Mills County, Texas",74.0,1.0,0.013513513513513514,1636,4902,968,3901,10,10,5,0,0,8,4902,2329,2573,177,314,451,382,167,319,366,592,393,328,711,476,226,50.6,748.215,0.282,4735,3755,2953,1818,980,1750,178,95,280,183,240,359,177,106,61,71,41827,60535,24274,36765,36603,1.3513513513513513,1.5095879232966136,33.37413300693595,6.5515927908422045
"Mitchell County, Texas",179.0,2.0,0.0111731843575419,2447,8558,3381,4159,847,53,30,0,0,88,8558,5383,3175,446,474,401,486,982,1619,1153,927,434,338,639,443,216,34.1,911.09,0.202,6308,5421,4090,2177,887,2441,48,87,441,175,479,337,343,394,22,115,49670,71553,20896,42345,34250,1.1173184357541899,2.0916101892965644,28.593129235802756,9.393144475298817
"Montague County, Texas",270.0,5.0,0.018518518518518517,3317,19409,2111,16694,120,32,0,0,0,452,19409,9403,10006,1108,1305,1328,1083,1039,2096,2019,2529,1295,1378,2426,1360,443,43.4,930.906,0.342,19113,15386,11910,6469,3727,7995,577,388,868,830,1040,1642,991,1004,381,274,51774,68340,28457,54199,30751,1.8518518518518516,1.3911072183007884,17.090009789273015,20.849580945874237
"Montgomery County, Texas",12920.0,173.0,0.013390092879256963,137429,554445,131147,370662,25296,805,15610,299,684,9942,554445,274604,279841,37835,41459,42853,38640,32889,70249,76216,76447,37260,31124,43917,18995,6561,36.9,1042.623,0.29,551489,472786,385596,133016,78703,192823,7698,5203,13614,14507,20528,31726,25034,32753,16584,25176,77416,110807,39618,64402,46428,1.3390092879256963,2.3302581861140417,24.786768750732715,531.7789843500478
"Moore County, Texas",1317.0,22.0,0.016704631738800303,4979,21801,11973,7174,627,97,1713,0,0,217,21801,11438,10363,1950,1974,1980,1699,1682,2953,2666,2415,1179,1039,1394,568,302,30.2,899.698,0.277,21627,18038,14667,5471,3589,6626,291,285,565,823,1167,1472,878,782,202,161,51527,63840,21650,39335,31136,1.6704631738800304,6.041007293243429,22.838401908169352,24.23146433581046
"Morris County, Texas",217.0,5.0,0.02304147465437788,2156,12424,1176,8046,2927,75,17,6,0,177,12424,5981,6443,708,814,852,745,632,1382,1491,1372,868,921,1397,891,351,43.0,251.989,0.333,12272,10490,7701,4617,1782,5048,384,340,627,654,960,854,537,493,133,66,42961,56797,23438,40670,30141,2.3041474654377883,1.7466194462330973,17.353509336767548,49.3037394489442
"Motley County, Texas",17.0,0.0,0.0,346,1156,224,861,19,0,0,0,11,41,1156,580,576,58,132,71,75,29,195,55,99,61,43,221,90,27,38.3,989.566,0.246,1156,920,610,609,236,465,40,16,66,75,60,90,53,39,6,20,43750,62145,26103,33750,40139,0.0,1.4705882352941175,29.93079584775086,1.1681888828031681
"Nacogdoches County, Texas",1781.0,68.0,0.0381807973048849,20657,65558,12565,39079,11311,182,1082,7,76,1256,65558,31365,34193,4385,4600,3913,6473,8712,7719,6618,6766,4056,3324,5203,2769,1020,30.6,946.557,0.353,64791,52520,38257,20424,12271,23904,2409,1567,3625,2373,3382,4250,2459,2481,485,873,43598,60789,22580,43277,31661,3.8180797304884897,2.716678361145856,31.509503035480037,69.2594318144602
"Navarro County, Texas",1417.0,32.0,0.022582921665490474,12030,48583,13013,27526,6124,169,309,539,88,815,48583,23845,24738,3492,3280,3829,3489,2814,5587,5639,6170,3384,2815,4566,2518,1000,38.6,1009.632,0.348,47811,39507,26816,17529,8304,17397,1541,810,2058,1960,2654,3276,1943,1943,652,560,47920,64220,23422,40466,33223,2.2582921665490474,2.916658090278492,24.761747936521004,48.11951285220754
"Newton County, Texas",188.0,13.0,0.06914893617021277,2204,14057,497,10335,2771,21,166,0,0,267,14057,7233,6824,679,640,898,1416,716,1191,1752,2005,845,1157,1613,872,273,44.3,933.677,0.35200000000000004,13870,11580,8291,5473,2290,4978,467,315,888,535,707,800,485,569,151,61,40950,54380,21144,51548,31327,6.914893617021277,1.3374119655687557,15.679021128263498,15.05552776816822
"Nolan County, Texas",405.0,5.0,0.012345679012345678,2710,14966,5527,8432,743,70,66,0,0,128,14966,7669,7297,1094,1183,1002,1164,910,1591,1650,1682,1111,926,1491,837,325,38.5,911.997,0.27,14785,12234,8963,5179,2551,5469,401,302,845,648,772,894,699,589,161,158,44346,66804,25820,46875,30213,1.2345679012345678,2.7061339035146332,18.10771081117199,16.410141700027523
"Nueces County, Texas",16171.0,407.0,0.02516851153299116,121056,360486,228462,107652,13071,919,7134,242,226,2780,360486,178020,182466,24665,25055,24806,25524,26397,52547,45030,43503,22563,21051,28881,15165,5299,35.3,838.316,0.332,355767,295165,208747,119691,60602,128926,8919,6943,13180,12922,16876,23391,16265,18198,6452,5780,55048,74820,27649,48043,34488,2.516851153299116,4.485888494976226,33.581331868644,430.0120718201728
"Ochiltree County, Texas",302.0,5.0,0.016556291390728478,307,10348,5564,4512,18,47,16,0,0,191,10348,5230,5118,904,834,999,906,531,1465,1467,1017,632,555,618,293,127,31.6,917.685,0.271,10285,8140,6621,2288,2145,3443,144,146,426,471,538,629,409,428,111,141,49928,70352,24260,51412,24735,1.6556291390728477,2.9184383455740237,2.9667568612292228,11.27620043914851
"Oldham County, Texas",27.0,2.0,0.07407407407407407,420,2090,353,1559,100,1,10,0,0,67,2090,1145,945,117,137,310,258,118,175,220,188,145,128,195,74,25,29.8,1500.523,0.252,1520,1356,1151,434,164,527,33,10,62,33,57,128,75,43,45,41,63315,87324,24151,45972,31750,7.4074074074074066,1.291866028708134,20.095693779904305,1.392847693770772
"Orange County, Texas",2160.0,46.0,0.021296296296296296,13878,84047,6165,68118,7090,277,1007,0,37,1353,84047,41630,42417,5725,5807,5808,5345,5299,10653,10243,11068,5970,5223,7443,4066,1397,37.8,333.781,0.454,83301,70470,52513,27767,12831,31989,1946,1743,2799,3487,4612,5485,3820,4871,2053,1173,55700,74104,28826,59191,37068,2.1296296296296298,2.569990600497341,16.512189608195417,251.80282880092037
"Palo Pinto County, Texas",700.0,17.0,0.024285714285714285,5029,28317,5625,21299,628,161,217,37,19,331,28317,13987,14330,1726,2011,1744,1969,1562,3300,2985,3629,1813,2159,3122,1735,562,40.5,952.549,0.407,28074,22853,15680,10934,5221,10312,724,643,1471,1027,1614,1834,1092,1168,346,393,45979,64671,24983,43976,29479,2.4285714285714284,2.472013278242752,17.759649680403996,29.72760456417465
