county_state,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
"Sterling County, Texas",44.9,672,316,59286,66108,28997,41786,67711,33462,1.2355852894962256,0.45223488168273446,0.5311130587204207,0.0026292725679228747,0.0,0.0,0.0,0.0,0.014022787028921999,0.5451358457493427,0.4548641542506573,0.060473269062226116,0.09553023663453111,0.05521472392638037,0.08238387379491674,0.021034180543382998,0.09290096406660824,0.09553023663453111,0.1796669588080631,0.1375985977212971,0.040315512708150744,0.0876424189307625,0.03593339176161262,0.015775635407537247,0.7978241160471442,0.20217588395285585,0.017316017316017316,0.032467532467532464,0.06493506493506493,0.10606060606060606,0.20995670995670995,0.3116883116883117,0.06926406926406926,0.1277056277056277,0.04329004329004329,0.017316017316017316
"Zavala County, Texas",32.9,4443,6018,30988,39610,13350,19020,31708,22638,9.350188491352368,0.9374330228340615,0.04962492787074437,0.0049460061000741904,0.0,0.000329733740004946,0.0,0.0,0.007666309455114995,0.5117467644876762,0.4882532355123238,0.07625092737614377,0.0919132800263787,0.08053746599620806,0.06454537960596818,0.09743632017146155,0.12191905036682879,0.11705547770175584,0.11161487099167422,0.05490066771082351,0.046574890775698624,0.07864149699117962,0.04476135520567142,0.013848817080207732,0.8161709258483452,0.1838290741516548,0.1268167569108008,0.13736107153035051,0.170703904246224,0.12368196067255628,0.16870903391279568,0.14249073810202337,0.08919920205186663,0.03676261043032203,0.002564833285836421,0.0017098888572242804
"Calhoun County, Texas",37.7,12854,6878,55469,70543,26596,31759,47057,29847,43.025497248633194,0.4844316045306553,0.4271105608290916,0.024212408859540513,0.00013757050488375291,0.045765121291328474,0.0007795661943412666,0.0,0.017563167790159123,0.5072683083413583,0.4927316916586417,0.06823497042234145,0.07029852799559774,0.06892282294676022,0.07245379923877654,0.056312193332416195,0.12816985371669648,0.11601779245196496,0.12528087311413766,0.07548035034621911,0.05058008896225982,0.09519878937955702,0.047736965194662265,0.025312972898610536,0.8104151223128243,0.1895848776871757,0.07377695949500263,0.03682272488164124,0.08903208837453971,0.1067859021567596,0.14610731194108365,0.1935823250920568,0.11612309310889006,0.15833771699105734,0.05957390846922672,0.01985796948974224
"Carson County, Texas",40.3,4596,1437,70087,84978,32917,41216,55800,40615,6.5548474031089885,0.09946949602122016,0.8597480106100795,0.01293103448275862,0.01309681697612732,0.005139257294429708,0.0,0.0,0.009615384615384616,0.46750663129973474,0.5324933687002652,0.060510610079575596,0.07211538461538461,0.07543103448275862,0.07708885941644562,0.046419098143236075,0.11671087533156499,0.11704244031830238,0.1225132625994695,0.07145225464190981,0.0654840848806366,0.09880636604774536,0.05570291777188329,0.020722811671087533,0.8860569715142429,0.11394302848575712,0.037383177570093455,0.02848242100578549,0.1041388518024032,0.08411214953271028,0.09924343569203382,0.19225634178905207,0.14374721851357367,0.1864708500222519,0.0516243880729862,0.07254116599910992
"Foard County, Texas",49.3,856,538,46354,60131,25636,23833,38977,20962,1.9988727947450093,0.20454545454545456,0.7776988636363636,0.01775568181818182,0.0,0.0,0.0,0.0,0.0,0.5056818181818182,0.4943181818181818,0.04403409090909091,0.04616477272727273,0.06178977272727273,0.07102272727272728,0.033380681818181816,0.06178977272727273,0.12855113636363635,0.15198863636363635,0.07386363636363637,0.05823863636363636,0.11505681818181818,0.11363636363636363,0.040482954545454544,0.8674435542607429,0.1325564457392571,0.01615798922800718,0.07360861759425494,0.13644524236983843,0.1400359066427289,0.15439856373429084,0.23159784560143626,0.11669658886894076,0.06642728904847396,0.03231597845601436,0.03231597845601436
"Freestone County, Texas",40.4,11020,6991,48731,67181,24083,31263,50804,31098,22.454487764474536,0.15140291237505707,0.6710132426810087,0.15744076310315083,0.0006088588969506317,0.005733421279618448,0.0,0.0,0.013800801664214319,0.5156527474757725,0.4843472525242275,0.058501192348673195,0.06890253183824649,0.06108884266071338,0.06027703079811254,0.04830280582475011,0.13364452788066367,0.12547567101324267,0.1191333908366736,0.07169313511593688,0.060835151453650614,0.10817393069156223,0.06281394286874017,0.02115784666903445,0.8433534659500194,0.1566465340499806,0.0540422432629279,0.07166788055353242,0.1396941005098325,0.12090313182811362,0.1235251274581209,0.15396941005098325,0.1101238164603059,0.15076474872541878,0.0471959213401311,0.02811361981063365
"Goliad County, Texas",46.0,5154,2647,60492,76236,29918,35709,61554,39438,8.83908775825664,0.3583853405922188,0.5837206214314168,0.049395830566989776,0.0,0.005709733103173549,0.0,0.0,0.002788474306201036,0.49581728854069845,0.5041827114593016,0.0414287611207011,0.06984464214579737,0.07037578010888328,0.052449873854733764,0.0678528747842252,0.08923117779843315,0.10038507502323729,0.13198778382684903,0.09082459168769087,0.07117248705351215,0.11167175673881291,0.0906918071969194,0.012083388660204489,0.8931071620893914,0.10689283791060851,0.0917568071615069,0.06452816113390526,0.10966057441253264,0.09101081685938082,0.07571801566579635,0.15218202163371877,0.1174934725848564,0.1782916822081313,0.07348004475941813,0.04587840358075345
"Hamilton County, Texas",46.0,4724,3273,47500,70251,28074,28403,41516,29388,9.892154106577822,0.12323134599105091,0.8470189865763695,0.005079211512879429,0.007497883661869633,0.0029024065787882454,0.0,0.0,0.014270165679042206,0.4921997823195066,0.5078002176804934,0.05671786189382029,0.06070867093965413,0.05490385778207764,0.062038940621598745,0.04909904462450115,0.1006167613979925,0.10799371145241263,0.112347321320595,0.07751844237513605,0.0662716168823316,0.12698028782198573,0.07243923086225662,0.05236425202563792,0.8253356539035306,0.17466434609646941,0.061454311454311454,0.0859073359073359,0.12387387387387387,0.12194337194337194,0.11422136422136422,0.17631917631917632,0.11486486486486487,0.12676962676962678,0.03732303732303732,0.03732303732303732
"Hardeman County, Texas",42.4,2329,1611,42238,56979,22938,22042,41901,29426,5.685398366311139,0.215334008097166,0.6814271255060729,0.06857287449392713,0.010374493927125507,0.0,0.0,0.0,0.024291497975708502,0.49038461538461536,0.5096153846153846,0.04959514170040486,0.07363360323886639,0.07768218623481782,0.05035425101214575,0.05996963562753036,0.11766194331983805,0.1014676113360324,0.1341093117408907,0.056933198380566805,0.076417004048583,0.11563765182186235,0.05541497975708502,0.031123481781376517,0.8421319796954315,0.15786802030456853,0.04608294930875576,0.09216589861751152,0.19815668202764977,0.08426596445029624,0.12310730743910467,0.2053982883475971,0.11784068466096116,0.09479921000658328,0.007899934167215274,0.030283080974325215
"Mitchell County, Texas",34.1,4090,2177,49670,71553,20896,36892,42345,34250,9.393144475298817,0.3950689413414349,0.4859780322505258,0.09897172236503857,0.006193035756017761,0.0035054919373685442,0.0,0.0,0.010282776349614395,0.6290021032951624,0.37099789670483757,0.05211498013554569,0.055386772610423,0.04685674222949287,0.05678896938537041,0.11474643608319701,0.18917971488665575,0.1347277401261977,0.108319700864688,0.05071278336059827,0.03949520916101893,0.07466697826595,0.05176443094180883,0.025239541949053517,0.8593849080532657,0.1406150919467343,0.019664072101597707,0.035641130684145844,0.18066366243342893,0.07169192953707497,0.19623105284719378,0.13805817287996722,0.14051618189266693,0.1614092585006145,0.009012699713232281,0.047111839410077835
