county_name,total_cases,total_fatalities,death_rate,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density
Washington,692.0,48,0.06936416184971098,34796,5483,22364,5771,79,591,36,0,472,34796,17259,17537,2133,1924,2344,3063,2145,3348,3752,4018,2282,2548,3892,2112,1235,41.6,604.184,34144,30186,23670,11810,3958,12381,789,647,1343,1323,1479,2512,1612,1474,494,708,56237,76880,29604,30473,45341,32154,57.59172702355575
Webb,14909.0,325,0.021798913408008585,272053,259797,9513,780,118,1295,33,132,385,272053,132906,139147,26546,23862,25976,24233,21883,36453,35572,30398,12160,10584,14333,6922,3131,28.6,3361.478,269779,193922,108913,97148,75857,73659,8833,5334,9056,8416,10141,11754,7378,8056,2498,2193,42293,59917,17326,24028,36910,28115,80.93255407294053
Wharton,1415.0,58,0.04098939929328622,41551,16983,18643,5747,27,64,0,8,79,41551,20395,21156,2827,2904,3245,3010,2643,5060,4611,5087,3087,2310,3729,2131,907,37.2,1086.151,41197,33706,23557,13888,7491,15256,1125,1103,1757,1371,2316,2769,1405,2053,1012,345,49619,70765,26281,29122,43442,31191,38.25527021565141
Wheeler,62.0,0,0.0,5482,1448,3740,142,13,5,17,0,117,5482,2844,2638,382,438,392,305,253,783,602,583,429,300,578,285,152,39.0,914.523,5413,4348,3347,1683,1065,2254,143,168,239,231,360,349,339,256,118,51,49352,65686,26844,30885,47174,32273,5.994381770606098
Wichita,3134.0,31,0.009891512444160817,131818,24818,86518,13116,922,2732,59,450,3203,131818,68325,63493,8617,8564,7984,10463,11987,19733,15035,14923,8612,7224,10103,5966,2607,34.3,627.594,116887,100745,75743,40658,16142,47951,4588,3033,5502,5178,7199,8601,5750,5364,1583,1153,46575,62083,23921,25985,41341,31862,210.03706217714
Wilbarger,308.0,3,0.00974025974025974,12906,3739,7583,1221,78,90,0,27,168,12906,6347,6559,673,742,917,991,661,1865,1498,1486,1039,740,1329,767,198,37.8,970.946,12720,10907,8069,4777,1813,5263,268,444,693,577,702,1057,761,474,184,103,48773,59930,24078,27337,40755,28676,13.292191326809114
Willacy,1202.0,55,0.045757071547420966,21754,19170,2412,129,2,0,0,0,41,21754,11681,10073,1398,1390,1621,1734,2011,3260,3018,2266,1028,1122,1612,981,313,33.6,590.591,20254,14556,6599,9056,5698,5810,972,677,892,608,763,816,510,379,127,66,29944,45647,14207,19472,33306,25991,36.83428971995848
Williamson,9137.0,151,0.01652621210462953,527057,128133,316640,31855,866,33636,366,1198,14363,527057,259443,267614,35305,39362,40653,36058,29157,73635,85938,71680,28654,25929,38120,16238,6328,36.1,1118.338,523527,474565,419178,110149,48962,174754,4443,3458,8449,11907,18565,31234,26315,37620,17413,15350,83679,101648,35825,41219,61035,45919,471.2859618469551
Wilson,982.0,28,0.028513238289205704,48198,18995,27657,642,53,188,44,56,563,48198,24197,24001,2862,3042,3621,3489,2757,5428,5914,7037,3650,3169,4397,1782,1050,40.2,803.735,47533,40715,32961,13554,6818,15820,685,547,1185,1396,1627,2649,2506,3089,1061,1075,72445,89915,30935,36950,57074,43634,59.967526610138904
Winkler,136.0,4,0.029411764705882353,7802,4689,2811,159,78,0,0,0,65,7802,3977,3825,649,714,646,698,548,944,975,942,441,356,472,294,123,32.5,841.2689999999999,7703,6046,4668,1974,1657,2572,212,156,180,286,356,409,398,385,98,92,59167,70223,24217,36946,60245,30938,9.27408474578286
Wise,881.0,15,0.0170261066969353,64639,12300,49868,759,258,281,114,2,1057,64639,32424,32215,4302,4380,4564,4366,3784,8020,7761,9171,4731,4058,5997,2504,1001,38.4,904.3939999999999,63665,52358,41587,18246,11307,22080,1049,790,1893,2073,2959,4418,3037,3801,1012,1048,61709,79497,28781,33139,52564,40089,71.4721681037247
Wood,621.0,36,0.057971014492753624,43815,4313,36273,2335,277,133,37,34,413,43815,21807,22008,2138,2208,2656,2751,2115,4129,4211,5300,3464,3073,6759,3661,1350,48.2,645.245,42880,37006,27043,18512,5874,16531,1255,1085,1724,1980,2422,2893,2058,1996,663,455,48534,68298,27841,28985,49656,34209,67.90443939898798
Yoakum,289.0,5,0.01730103806228374,8571,5643,2763,25,11,5,0,29,95,8571,4438,4133,783,964,668,468,678,1229,1017,863,621,309,589,318,64,31.2,799.715,8571,6649,5154,2076,1922,2676,66,197,162,203,248,650,298,557,153,142,68814,82418,26519,43250,68603,36103,10.717568133647614
Young,497.0,6,0.012072434607645875,18114,3332,14176,354,112,89,0,0,51,18114,8930,9184,1093,1163,1321,1316,780,2072,1989,2265,1226,1304,1917,1096,572,41.4,914.498,17825,14512,10708,6048,3313,7105,414,324,757,876,1325,1272,768,1066,172,131,47194,64653,25855,30734,49142,27542,19.807588425562443
Zapata,342.0,9,0.02631578947368421,14369,13542,615,0,0,179,0,0,33,14369,7177,7192,1396,1837,897,952,1228,1762,1692,1458,594,554,1077,751,171,29.6,998.4119999999999,14334,10128,4596,6540,4206,4405,714,275,700,720,690,504,427,215,78,82,31113,52009,17228,18938,36461,24946,14.39185426457214
Zavala,452.0,18,0.03982300884955752,12131,11372,602,60,0,4,0,0,93,12131,6208,5923,925,1115,977,783,1182,1479,1420,1354,666,565,954,543,168,32.9,1297.407,11935,9741,4443,6018,2194,3509,445,482,599,434,592,500,313,129,9,6,30988,39610,13350,19020,31708,22638,9.350188491352368
